file,class,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,version,title,severity,vulnerable
apache-tomcat-10.0.4-src/java/jakarta/servlet/http/HttpServlet.java,java/jakarta/servlet/http/HttpServlet.java,6,15,3,11,31,0.2,0.33333334,11,0,8,1,0,2,10,0,0,0,3,0,0,3,0,0,1,0,0,57,2,0,2,0,0,1,0,6,0,4,2,0,0,0,35,0,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/servlet/http/HttpServletRequestWrapper.java,java/jakarta/servlet/http/HttpServletRequestWrapper.java,10,38,2,38,703,0.0,0.0,38,0,37,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,116,35,0,0,0,0,0,0,0,0,0,0,0,0,0,105,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/servlet/http/HttpServletResponseWrapper.java,java/jakarta/servlet/http/HttpServletResponseWrapper.java,4,25,2,25,300,0.0,0.0,25,0,24,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,77,11,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/servlet/http/HttpSessionBindingEvent.java,java/jakarta/servlet/http/HttpSessionBindingEvent.java,2,5,2,1,0,0.5,0.6,5,0,5,0,0,0,5,0,0,0,3,1,0,3,0,0,3,0,0,24,3,0,0,0,0,0,1,5,0,3,0,0,0,0,76,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/servlet/http/HttpSessionEvent.java,java/jakarta/servlet/http/HttpSessionEvent.java,1,2,1,1,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,1,0,0,0,0,0,1,1,0,1,0,0,0,0,40,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/servlet/http/HttpUtils.java,java/jakarta/servlet/http/HttpUtils.java,5,25,1,30,10,0.0,0.0,5,4,4,1,0,0,4,0,0,0,2,2,0,2,0,0,2,0,6,108,5,3,6,3,3,7,20,29,6,23,4,0,0,0,187,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/servlet/HttpConstraintElement.java,java/jakarta/servlet/HttpConstraintElement.java,2,10,1,3,0,0.85714287,1.0,7,0,7,0,0,0,7,0,0,0,5,2,0,5,0,0,5,0,1,39,3,0,1,0,0,2,3,14,0,5,1,0,0,0,67,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/servlet/HttpMethodConstraintElement.java,java/jakarta/servlet/HttpMethodConstraintElement.java,1,7,2,6,0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,3,2,0,3,0,0,3,0,1,21,1,0,4,0,0,3,2,4,0,3,1,0,0,0,31,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/servlet/jsp/el/ELException.java,java/jakarta/servlet/jsp/el/ELException.java,0,5,3,1,10,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,1,0,1,0,0,1,0,0,18,1,0,0,0,0,0,1,1,0,1,0,0,0,0,45,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/servlet/jsp/el/ELParseException.java,java/jakarta/servlet/jsp/el/ELParseException.java,1,2,4,0,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,0,1,1,0,1,0,0,0,0,32,1,0,10,0,0,0.0
